1984-12,820.91,
1985-01,838.10,
1985-02,855.40,
1985-03,858.90,
1985-04,873.10,
1985-05,950.60,
1985-06,1018.50,
1985-07,986.00,
1985-08,1081.70,
1985-09,1142.60,
1985-10,1295.80,
1985-11,1251.80,
1985-12,1366.23,
1986-01,1387.10,
1986-02,1357.30,
1986-03,1481.60,
1986-04,1507.30,
1986-05,1380.50,
1986-06,1357.50,
1986-07,1288.60,
1986-08,1497.50,
1986-09,1408.00,
1986-10,1426.30,
1986-11,1466.30,
1986-12,1432.25,
1987-01,1294.50,
1987-02,1244.40,
1987-03,1301.70,
1987-04,1308.10,
1987-05,1316.40,
1987-06,1382.60,
1987-07,1510.50,
1987-08,1537.80,
1987-09,1500.20,
1987-10,1177.40,
1987-11,1022.80,
1987-12,1000.00,
1988-01,935.57,
1988-02,1079.55,
1988-03,1063.17,
1988-04,1054.46,
1988-05,1083.36,
1988-06,1140.49,
1988-07,1181.72,
1988-08,1165.36,
1988-09,1252.69,
1988-10,1300.79,
1988-11,1275.99,
1988-12,1327.87,
1989-01,1312.73,
1989-02,1288.66,
1989-03,1322.66,
1989-04,1370.90,
1989-05,1407.29,
1989-06,1473.72,
1989-07,1554.16,
1989-08,1597.85,
1989-09,1574.37,
1989-10,1472.76,
1989-11,1577.43,
1989-12,1790.37,
1990-01,1822.78,
1990-02,1809.92,
1990-03,1968.55,
1990-04,1813.25,
1990-05,1844.81,
1990-06,1879.90,
1990-07,1919.12,
1990-08,1629.51,
1990-09,1334.89,
1990-10,1433.82,
1990-11,1441.23,
1990-12,1398.23,
1991-01,1420.08,
1991-02,1542.09,
1991-03,1522.80,
1991-04,1605.79,
1991-05,1704.11,
1991-06,1622.18,
1991-07,1622.31,
1991-08,1650.50,
1991-09,1607.03,
1991-10,1582.06,
1991-11,1566.57,
1991-12,1577.98,
1992-01,1687.49,
1992-02,1745.13,
1992-03,1717.86,
1992-04,1734.03,
1992-05,1803.22,
1992-06,1752.63,
1992-07,1615.42,
1992-08,1541.25,
1992-09,1466.36,
1992-10,1492.32,
1992-11,1544.34,
1992-12,1545.05,
1993-01,1571.85,
1993-02,1684.35,
1993-03,1684.21,
1993-04,1627.19,
1993-05,1631.85,
1993-06,1697.63,
1993-07,1803.23,
1993-08,1944.89,
1993-09,1915.71,
1993-10,2069.00,
1993-11,2057.77,
1993-12,2266.68,
1994-01,2177.45,
1994-02,2091.57,
1994-03,2133.11,
1994-04,2245.98,
1994-05,2127.70,
1994-06,2025.34,
1994-07,2146.64,
1994-08,2212.85,
1994-09,2011.75,
1994-10,2071.63,
1994-11,2048.26,
1994-12,2106.58,
1995-01,2021.27,
1995-02,2102.18,
1995-03,1922.59,
1995-04,2015.94,
1995-05,2092.17,
1995-06,2083.93,
1995-07,2218.74,
1995-08,2238.31,
1995-09,2187.04,
1995-10,2167.91,
1995-11,2242.83,
1995-12,2253.88,
1996-01,2470.14,
1996-02,2473.55,
1996-03,2485.87,
1996-04,2505.25,
1996-05,2542.80,
1996-06,2561.39,
1996-07,2473.35,
1996-08,2543.83,
1996-09,2651.85,
1996-10,2659.25,
1996-11,2845.52,
1996-12,2888.69,
1997-01,3035.15,
1997-02,3259.64,
1997-03,3429.05,
1997-04,3438.07,
1997-05,3547.84,
1997-06,3785.77,
1997-07,4438.93,
1997-08,3906.03,
1997-09,4167.85,
1997-10,3726.69,
1997-11,3949.14,
1997-12,4249.69,
1998-01,4440.38,
1998-02,4709.83,
1998-03,5102.35,
1998-04,5107.44,
1998-05,5569.08,
1998-06,5897.44,
1998-07,5873.92,
1998-08,4833.89,
1998-09,4474.51,
1998-10,4671.12,
1998-11,5022.70,
1998-12,5002.39,
1999-01,5159.96,
1999-02,4911.81,
1999-03,4884.20,
1999-04,5393.11,
1999-05,5069.83,
1999-06,5378.52,
1999-07,5101.87,
1999-08,5270.77,
1999-09,5149.83,
1999-10,5525.40,
1999-11,5896.04,
1999-12,6958.14,
2000-01,6835.60,
2000-02,7644.55,
2000-03,7599.39,
2000-04,7414.68,
2000-05,7109.67,
2000-06,6898.21,
2000-07,7190.37,
2000-08,7216.45,
2000-09,6798.12,
2000-10,7077.44,
2000-11,6372.33,
2000-12,6433.61,
2001-01,6795.14,
2001-02,6208.24,
2001-03,5829.95,
2001-04,6264.51,
2001-05,6123.26,
2001-06,6058.38,
2001-07,5861.19,
2001-08,5188.17,
2001-09,4308.15,
2001-10,4559.13,
2001-11,4989.91,
2001-12,5160.10,
2002-01,5107.61,
2002-02,5039.08,
2002-03,5397.29,
2002-04,5041.20,
2002-05,4818.30,
2002-06,4382.56,
2002-07,3700.14,
2002-08,3712.94,
2002-09,2769.03,
2002-10,3152.85,
2002-11,3320.32,
2002-12,2892.63,
2003-01,2747.83,
2003-02,2547.05,
2003-03,2423.87,
2003-04,2942.04,
2003-05,2982.68,
2003-06,3220.58,
2003-07,3487.86,
2003-08,3484.58,
2003-09,3256.78,
2003-10,3655.99,
2003-11,3745.95,
2003-12,3965.16,
2004-01,4058.60,
2004-02,4018.16,
2004-03,3856.70,
2004-04,3985.21,
2004-05,3921.41,
2004-06,4052.73,
2004-07,3895.61,
2004-08,3785.21,
2004-09,3892.90,
2004-10,3960.25,
2004-11,4126.00,
2004-12,4256.08,
2005-01,4254.85,
2005-02,4350.49,
2005-03,4348.77,
2005-04,4184.84,
2005-05,4460.63,
2005-06,4586.28,
2005-07,4886.50,
2005-08,4829.69,
2005-09,5044.12,
2005-10,4929.07,
2005-11,5193.40,
2005-12,5408.26,
2006-01,5674.15,
2006-02,5796.04,
2006-03,5970.08,
2006-04,6009.89,
2006-05,5692.86,
2006-06,5683.31,
2006-07,5681.97,
2006-08,5859.57,
2006-09,6004.33,
2006-10,6268.92,
2006-11,6309.19,
2006-12,6596.92,
2007-01,6789.11,
2007-02,6715.44,
2007-03,6917.03,
2007-04,7408.87,
2007-05,7883.04,
2007-06,8007.32,
2007-07,7584.14,
2007-08,7638.17,
2007-09,7861.51,
2007-10,8019.22,
2007-11,7870.52,
2007-12,8067.32,
2008-01,6851.75,
2008-02,6748.13,
2008-03,6534.97,
2008-04,6948.82,
2008-05,7096.79,
2008-06,6418.32,
2008-07,6479.56,
2008-08,6422.30,
2008-09,5831.02,
2008-10,4987.97,
2008-11,4669.44,
2008-12,4810.20,
2009-01,4338.35,
2009-02,3843.74,
2009-03,4084.76,
2009-04,4769.45,
2009-05,4940.82,
2009-06,4808.64,
2009-07,5332.14,
2009-08,5464.61,
2009-09,5675.16,
2009-10,5414.96,
2009-11,5625.95,
2009-12,5957.43,
2010-01,5608.79,
2010-02,5598.46,
2010-03,6153.55,
2010-04,6135.70,
2010-05,5964.33,
2010-06,5965.52,
2010-07,6147.97,
2010-08,5925.22,
2010-09,6229.02,
2010-10,6601.37,
2010-11,6688.49,
2010-12,6914.19,
2011-01,7077.48,
2011-02,7272.32,
2011-03,7041.31,
2011-04,7514.46,
2011-05,7293.69,
2011-06,7376.24,
2011-07,7158.77,
2011-08,5784.85,
2011-09,5502.02,
2011-10,6141.34,
2011-11,6088.84,
2011-12,5898.35,
2012-01,6458.91,
2012-02,6856.08,
2012-03,6946.83,
2012-04,6761.19,
2012-05,6264.38,
2012-06,6416.28,
2012-07,6772.26,
2012-08,6970.79,
2012-09,7216.15,
2012-10,7260.63,
2012-11,7405.50,
2012-12,7612.39,
2013-01,7776.05,
2013-02,7741.70,
2013-03,7795.31,
2013-04,7913.71,
2013-05,8348.84,
2013-06,7959.22,
2013-07,8275.97,
2013-08,8103.15,
2013-09,8594.40,
2013-10,9033.92,
2013-11,9405.30,
2013-12,9552.16,
2014-01,9306.48,
2014-02,9692.08,
2014-03,9555.91,
2014-04,9603.23,
2014-05,9943.27,
2014-06,9833.07,
